wave flux error
  8.8000e+02  1.0559e-01  1.8729e-01
  8.8105e+02  3.8817e-01  1.2984e-01
  8.8210e+02 -9.5159e-04  1.2620e-01
  8.8315e+02  2.7098e-01  8.4850e-02
  8.8420e+02  3.9958e-01  1.2312e-01
  8.8525e+02  2.4815e-01  1.8586e-01
  8.8630e+02 -2.4806e-02  8.1783e-02
  8.8735e+02  3.7755e-01  9.6100e-02
  8.8841e+02  2.4104e-01  9.9956e-02
  8.8946e+02  3.2444e-01  1.4460e-01
  8.9051e+02  2.0282e-01  1.4727e-01
  8.9156e+02 -1.5345e-02  6.5192e-02
  8.9261e+02  5.6249e-02  1.6645e-01
  8.9366e+02  4.6869e-02  1.5183e-01
  8.9471e+02 -1.2600e-01  5.7133e-02
  8.9576e+02  2.8688e-01  7.5868e-02
  8.9681e+02  1.1040e-01  8.0589e-02
  8.9786e+02  1.7696e-01  1.1506e-01
  8.9891e+02 -5.6463e-02  1.3357e-01
  8.9996e+02  5.6365e-02  9.3180e-02
  9.0101e+02  1.5233e-01  1.2101e-01
  9.0206e+02  2.9468e-01  8.6881e-02
  9.0311e+02  2.4710e-01  1.6393e-01
  9.0417e+02 -4.7544e-02  6.1533e-02
  9.0522e+02 -6.8567e-03  1.0570e-01
  9.0627e+02  2.3213e-01  9.4921e-02
  9.0732e+02  1.6226e-01  9.4813e-02
  9.0837e+02  1.8936e-01  4.9872e-02
  9.0942e+02  1.9913e-01  1.0355e-01
  9.1047e+02  2.5647e-01  1.0737e-01
  9.1152e+02  2.7739e-01  8.8069e-02
  9.1257e+02  3.2222e-01  8.8160e-02
  9.1362e+02  1.9287e-01  6.7636e-02
  9.1467e+02  4.7057e-01  8.9967e-02
  9.1572e+02  7.4830e-02  5.0212e-02
  9.1677e+02  1.3928e-01  1.2661e-01
  9.1782e+02  1.1394e-01  8.9415e-02
  9.1887e+02  1.1499e-01  5.9818e-02
  9.1992e+02  1.6468e-01  8.8179e-02
  9.2098e+02  7.9170e-02  7.8904e-02
  9.2203e+02  1.8995e-01  7.0261e-02
  9.2308e+02  2.2295e-01  7.7361e-02
  9.2413e+02  1.2649e-01  7.1885e-02
  9.2518e+02  1.2140e-01  8.8147e-02
  9.2623e+02  1.7350e-01  8.5954e-02
  9.2728e+02  2.1771e-01  1.0390e-01
  9.2833e+02  2.8063e-01  6.9490e-02
  9.2938e+02  3.4225e-01  6.7020e-02
  9.3043e+02  4.0079e-01  6.8501e-02
  9.3148e+02  1.1232e-01  4.1465e-02
  9.3253e+02  2.9056e-01  8.5631e-02
  9.3358e+02  4.0235e-01  9.0814e-02
  9.3463e+02  4.0169e-01  5.8535e-02
  9.3568e+02  1.9916e-01  9.8589e-02
  9.3674e+02  2.6995e-01  6.9442e-02
  9.3779e+02  4.1897e-01  1.0580e-01
  9.3884e+02  4.3739e-01  1.1294e-01
  9.3989e+02  5.4085e-01  7.1550e-02
  9.4094e+02  4.4308e-01  9.2644e-02
  9.4199e+02  3.7828e-01  7.6729e-02
  9.4304e+02  4.4033e-01  8.5540e-02
  9.4409e+02  3.6946e-01  9.5159e-02
  9.4514e+02  2.5904e-01  6.4237e-02
  9.4619e+02  3.9131e-01  8.2875e-02
