wave flux error
  1.0134e+03  4.4743e-01  5.4921e-02
  1.0145e+03  4.2752e-01  3.8123e-02
  1.0155e+03  5.6819e-01  5.7788e-02
  1.0166e+03  4.9588e-01  5.2400e-02
  1.0176e+03  3.9764e-01  4.9307e-02
  1.0187e+03  4.6103e-01  4.1748e-02
  1.0197e+03  4.7186e-01  4.4194e-02
  1.0208e+03  3.7565e-01  4.9830e-02
  1.0218e+03  3.1325e-01  5.0814e-02
  1.0229e+03  3.4552e-01  6.6517e-02
  1.0239e+03  3.8992e-01  5.5660e-02
  1.0250e+03  3.2153e-01  4.8653e-02
  1.0260e+03  2.9718e-01  6.2166e-02
  1.0271e+03  4.6446e-01  3.5877e-02
  1.0281e+03  4.3480e-01  6.7345e-02
  1.0292e+03  4.0349e-01  4.7950e-02
  1.0302e+03  4.0146e-01  4.2342e-02
  1.0313e+03  5.5816e-01  5.3794e-02
  1.0323e+03  4.7053e-01  3.8364e-02
  1.0334e+03  4.5937e-01  4.5546e-02
  1.0344e+03  5.5042e-01  6.4942e-02
  1.0355e+03  5.0609e-01  5.0273e-02
  1.0365e+03  5.8708e-01  4.4158e-02
  1.0376e+03  4.6907e-01  4.7256e-02
  1.0386e+03  6.4693e-01  5.3797e-02
  1.0397e+03  6.5946e-01  5.1673e-02
  1.0408e+03  6.5776e-01  4.7223e-02
  1.0418e+03  6.6289e-01  4.8193e-02
  1.0429e+03  7.2063e-01  4.4353e-02
  1.0439e+03  8.2217e-01  3.5923e-02
  1.0450e+03  6.5965e-01  5.5100e-02
  1.0460e+03  7.5431e-01  6.4418e-02
  1.0471e+03  7.3127e-01  5.1907e-02
  1.0481e+03  7.2646e-01  3.9225e-02
  1.0492e+03  5.8013e-01  4.7280e-02
  1.0502e+03  7.9955e-01  4.5084e-02
  1.0513e+03  7.0487e-01  5.3352e-02
  1.0523e+03  6.1181e-01  4.2676e-02
  1.0534e+03  6.0051e-01  4.4558e-02
  1.0544e+03  6.5755e-01  4.7490e-02
  1.0555e+03  7.5291e-01  3.0213e-02
  1.0565e+03  6.8531e-01  4.2384e-02
  1.0576e+03  6.6359e-01  3.4843e-02
  1.0586e+03  5.7952e-01  3.8476e-02
  1.0597e+03  7.8863e-01  3.7532e-02
  1.0607e+03  6.3715e-01  3.6436e-02
  1.0618e+03  6.4606e-01  4.2486e-02
  1.0628e+03  4.8332e-01  4.9275e-02
  1.0639e+03  5.5975e-01  4.3537e-02
  1.0649e+03  5.0197e-01  4.0635e-02
  1.0660e+03  6.8445e-01  4.7744e-02
  1.0670e+03  7.6358e-01  3.3755e-02
  1.0681e+03  5.7019e-01  4.8516e-02
  1.0691e+03  6.7992e-01  4.5522e-02
  1.0702e+03  5.3813e-01  4.0351e-02
  1.0712e+03  6.9318e-01  4.3848e-02
  1.0723e+03  6.6470e-01  3.3895e-02
  1.0733e+03  6.3245e-01  4.4617e-02
  1.0744e+03  5.9838e-01  5.3322e-02
  1.0754e+03  6.7394e-01  3.5423e-02
  1.0765e+03  6.5629e-01  4.7529e-02
  1.0775e+03  6.5938e-01  4.6399e-02
  1.0786e+03  5.2205e-01  5.0613e-02
  1.0796e+03  6.0856e-01  4.1283e-02
  1.0807e+03  5.0531e-01  3.2718e-02
  1.0817e+03  4.5006e-01  5.3587e-02
  1.0828e+03  5.9066e-01  4.6051e-02
  1.0838e+03  5.1853e-01  4.0487e-02
  1.0849e+03  6.3004e-01  3.7147e-02
  1.0859e+03  7.4698e-01  3.3197e-02
  1.0870e+03  5.8595e-01  3.7340e-02
  1.0880e+03  7.1978e-01  3.9102e-02
  1.0891e+03  7.3662e-01  4.2228e-02
  1.0901e+03  6.6612e-01  5.0912e-02
  1.0912e+03  6.4959e-01  4.4474e-02
  1.0922e+03  7.0141e-01  4.0370e-02
  1.0933e+03  6.4528e-01  3.3206e-02
  1.0943e+03  7.1185e-01  2.8745e-02
  1.0954e+03  5.3802e-01  5.0902e-02
  1.0964e+03  5.9709e-01  3.8262e-02
  1.0975e+03  6.4036e-01  4.7529e-02
  1.0985e+03  6.8218e-01  3.9223e-02
  1.0996e+03  6.7280e-01  4.2553e-02
  1.1006e+03  6.4247e-01  5.1364e-02
  1.1017e+03  8.6590e-01  3.0327e-02
  1.1027e+03  6.4140e-01  5.2328e-02
  1.1038e+03  6.4824e-01  3.5317e-02
  1.1048e+03  6.8237e-01  2.5855e-02
  1.1059e+03  6.8733e-01  3.7137e-02
  1.1069e+03  7.2861e-01  4.2887e-02
  1.1080e+03  5.8452e-01  3.3139e-02
  1.1090e+03  6.6495e-01  4.0522e-02
  1.1101e+03  5.6412e-01  3.6021e-02
  1.1111e+03  6.9623e-01  4.4015e-02
